[ 2032786ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=_4i66ahV5whjGyWJPHT5L' failed: Error during WebSocket handshake: net::ERR_CONNECTION_RESET @ http://localhost:3000/_next/static/chunks/f5378_next_dist_client_60e8b054._.js:10878
[ 2033790ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=_4i66ahV5whjGyWJPHT5L' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/f5378_next_dist_client_60e8b054._.js:10878
[ 2034794ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=_4i66ahV5whjGyWJPHT5L' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/f5378_next_dist_client_60e8b054._.js:10878
[ 2035797ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=_4i66ahV5whjGyWJPHT5L' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/f5378_next_dist_client_60e8b054._.js:10878
[ 2036803ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=_4i66ahV5whjGyWJPHT5L' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/f5378_next_dist_client_60e8b054._.js:10878
[ 2041810ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=_4i66ahV5whjGyWJPHT5L' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/f5378_next_dist_client_60e8b054._.js:10878
[ 2046817ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=_4i66ahV5whjGyWJPHT5L' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/f5378_next_dist_client_60e8b054._.js:10878
[ 2051839ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=_4i66ahV5whjGyWJPHT5L' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/f5378_next_dist_client_60e8b054._.js:10878
[ 2056872ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=_4i66ahV5whjGyWJPHT5L' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/f5378_next_dist_client_60e8b054._.js:10878
[ 2061935ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=_4i66ahV5whjGyWJPHT5L' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/f5378_next_dist_client_60e8b054._.js:10878
[ 2067092ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=_4i66ahV5whjGyWJPHT5L' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/f5378_next_dist_client_60e8b054._.js:10878
[ 2072275ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=_4i66ahV5whjGyWJPHT5L' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/f5378_next_dist_client_60e8b054._.js:10878
